route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
RMG,0#43,0#497-34,"TERMINI LAZIALI","11037786",1,"",56375,0,0
RMG,0#43,0#497-35,"CENTOCELLE","11037787",0,"",56374,0,0
RMG,0#43,0#498-2,"TERMINI LAZIALI","11037795",1,"",56375,0,0
RMG,0#43,0#498-3,"CENTOCELLE","11037796",0,"",56374,0,0
RMG,0#43,0#498-4,"TERMINI LAZIALI","11037797",1,"",56375,0,0
RMG,0#43,0#498-5,"CENTOCELLE","11037798",0,"",56374,0,0
RMG,0#43,0#498-6,"TERMINI LAZIALI","11037799",1,"",56375,0,0
RMG,0#43,0#498-7,"CENTOCELLE","11037800",0,"",56374,0,0
RMG,0#43,0#498-8,"TERMINI LAZIALI","11037801",1,"",56375,0,0
RMG,0#43,0#498-9,"CENTOCELLE","11037802",0,"",56374,0,0
RMG,0#43,0#498-10,"TERMINI LAZIALI","11037803",1,"",56375,0,0
RMG,0#43,0#498-11,"CENTOCELLE","11037804",0,"",56374,0,0
RMG,0#43,0#498-12,"TERMINI LAZIALI","11037805",1,"",56375,0,0
RMG,0#43,0#498-13,"CENTOCELLE","11037806",0,"",56374,0,0
RMG,0#43,0#498-14,"TERMINI LAZIALI","11037807",1,"",56375,0,0
RMG,0#43,0#498-15,"CENTOCELLE","11037808",0,"",56374,0,0
RMG,0#43,0#498-16,"TERMINI LAZIALI","11037809",1,"",56375,0,0
RMG,0#43,0#498-17,"CENTOCELLE","11037810",0,"",56374,0,0
RMG,0#43,0#498-18,"TERMINI LAZIALI","11037811",1,"",56375,0,0
RMG,0#43,0#498-19,"CENTOCELLE","11037812",0,"",56374,0,0
RMG,0#43,0#498-20,"TERMINI LAZIALI","11037813",1,"",56375,0,0
RMG,0#43,0#498-21,"CENTOCELLE","11037814",0,"",56374,0,0
RMG,0#43,0#498-22,"TERMINI LAZIALI","11037815",1,"",56375,0,0
RMG,0#43,0#498-23,"CENTOCELLE","11037816",0,"",56374,0,0
RMG,0#43,0#498-24,"TERMINI LAZIALI","11037830",1,"",56375,0,0
RMG,0#43,0#498-25,"CENTOCELLE","11037817",0,"",56374,0,0
RMG,0#43,0#498-26,"TERMINI LAZIALI","11037818",1,"",56375,0,0
RMG,0#43,0#498-27,"CENTOCELLE","11037819",0,"",56374,0,0
RMG,0#43,0#498-28,"TERMINI LAZIALI","11037820",1,"",56375,0,0
RMG,0#43,0#498-29,"CENTOCELLE","11037821",0,"",56374,0,0
RMG,0#43,0#498-30,"TERMINI LAZIALI","11037822",1,"",56375,0,0
RMG,0#43,0#498-31,"CENTOCELLE","11037823",0,"",56374,0,0
RMG,0#43,0#498-32,"TERMINI LAZIALI","11037824",1,"",56375,0,0
RMG,0#43,0#498-33,"CENTOCELLE","11037825",0,"",56374,0,0
RMG,0#43,0#498-34,"TERMINI LAZIALI","11037826",1,"",56375,0,0
RMG,0#43,0#498-35,"CENTOCELLE","11037827",0,"",56374,0,0
RMG,0#43,0#498-36,"TERMINI LAZIALI","11037828",1,"",56375,0,0
RMG,0#43,0#498-37,"CENTOCELLE","11037829",0,"",56374,0,0
RMG,0#43,0#499-2,"TERMINI LAZIALI","11037831",1,"",56375,0,0
RMG,0#43,0#499-3,"CENTOCELLE","11037832",0,"",56374,0,0
RMG,0#43,0#499-4,"TERMINI LAZIALI","11037833",1,"",56375,0,0
RMG,0#43,0#499-5,"CENTOCELLE","11037834",0,"",56374,0,0
RMG,0#43,0#499-6,"TERMINI LAZIALI","11037835",1,"",56375,0,0
RMG,0#43,0#499-7,"CENTOCELLE","11037836",0,"",56374,0,0
RMG,0#43,0#499-8,"TERMINI LAZIALI","11037837",1,"",56375,0,0
RMG,0#43,0#499-9,"CENTOCELLE","11037838",0,"",56374,0,0
RMG,0#43,0#499-10,"TERMINI LAZIALI","11037839",1,"",56375,0,0
RMG,0#43,0#499-11,"CENTOCELLE","11037840",0,"",56374,0,0
RMG,0#43,0#499-12,"TERMINI LAZIALI","11037841",1,"",56375,0,0
RMG,0#43,0#499-13,"CENTOCELLE","11037842",0,"",56374,0,0
RMG,0#43,0#499-14,"TERMINI LAZIALI","11037843",1,"",56375,0,0
RMG,0#43,0#499-15,"CENTOCELLE","11037844",0,"",56374,0,0
RMG,0#43,0#499-16,"TERMINI LAZIALI","11037845",1,"",56375,0,0
RMG,0#43,0#499-17,"CENTOCELLE","11037846",0,"",56374,0,0
RMG,0#43,0#499-18,"TERMINI LAZIALI","11037847",1,"",56375,0,0
RMG,0#43,0#499-19,"CENTOCELLE","11037848",0,"",56374,0,0
RMG,0#43,0#499-20,"TERMINI LAZIALI","11037849",1,"",56375,0,0
RMG,0#43,0#499-21,"CENTOCELLE","11037850",0,"",56374,0,0
RMG,0#43,0#499-22,"TERMINI LAZIALI","11037851",1,"",56375,0,0
RMG,0#43,0#499-23,"CENTOCELLE","11037852",0,"",56374,0,0
RMG,0#43,0#499-24,"TERMINI LAZIALI","11037853",1,"",56375,0,0
RMG,0#43,0#499-25,"CENTOCELLE","11037854",0,"",56374,0,0
RMG,0#43,0#499-26,"TERMINI LAZIALI","11037855",1,"",56375,0,0
RMG,0#43,0#499-27,"CENTOCELLE","11037856",0,"",56374,0,0
RMG,0#43,0#499-28,"TERMINI LAZIALI","11037857",1,"",56375,0,0
RMG,0#43,0#499-29,"CENTOCELLE","11037858",0,"",56374,0,0
RMG,0#43,0#499-30,"TERMINI LAZIALI","11037859",1,"",56375,0,0
RMG,0#43,0#499-31,"CENTOCELLE","11037860",0,"",56374,0,0
RMG,0#43,0#499-32,"TERMINI LAZIALI","11037861",1,"",56375,0,0
RMG,0#43,0#499-33,"CENTOCELLE","11037862",0,"",56374,0,0
RMG,0#43,0#499-34,"TERMINI LAZIALI","11037863",1,"",56375,0,0
RMG,0#43,0#499-35,"CENTOCELLE","11037864",0,"",56374,0,0
RMG,0#43,0#499-36,"TERMINI LAZIALI","11037865",1,"",56375,0,0
RMG,0#43,0#499-37,"CENTOCELLE","11037866",0,"",56374,0,0
RMG,0#43,0#500-2,"TERMINI LAZIALI","11037898",1,"",56375,0,0
RMG,0#43,0#500-3,"CENTOCELLE","11037899",0,"",56374,0,0
RMG,0#43,0#500-4,"TERMINI LAZIALI","11037900",1,"",56375,0,0
RMG,0#43,0#500-5,"CENTOCELLE","11037867",0,"",56374,0,0
RMG,0#43,0#500-6,"TERMINI LAZIALI","11037868",1,"",56375,0,0
RMG,0#43,0#500-7,"CENTOCELLE","11037869",0,"",56374,0,0
RMG,0#43,0#500-8,"TERMINI LAZIALI","11037870",1,"",56375,0,0
RMG,0#43,0#500-9,"CENTOCELLE","11037871",0,"",56374,0,0
